nivel,verificacion,resultado,detalle
ERROR,Calidad: columnas obligatorias,OK,Todas presentes.
ERROR,Calidad: 15 zonas,OK,Zonas encontradas: 15
ERROR,Calidad: 12 zonas de desarrollo y 3 holdout,OK,"Distribución: {'desarrollo': 12, 'validacion_espacial': 3}"
ERROR,Calidad: cero faltantes temporales y meteorológicos,OK,Todos los indicadores son cero.
ERROR,Calidad: 12.784 días y 420 meses por zona,OK,Conteos correctos.
ERROR,Calidad: humedad del suelo eliminada,OK,No existen columnas de humedad del suelo.
ERROR,Diario: columnas obligatorias,OK,Todas presentes.
ERROR,Diario: filas por zona,OK,Todas las zonas tienen 12784 filas.
ERROR,Diario: claves zona-fecha únicas,OK,Duplicados: 0
ERROR,Diario: cobertura exacta 1991-01-01 a 2025-12-31,OK,Cobertura correcta.
ERROR,Diario: variables obligatorias sin nulos,OK,No hay nulos.
ERROR,Diario: precipitación no negativa,OK,Filas negativas: 0
ADVERTENCIA,Diario: máximo 1h ≤ 3h ≤ 6h,OK,Filas que no cumplen: 0
ERROR,Diario: temperatura mínima ≤ media ≤ máxima,OK,Filas que no cumplen: 0
ERROR,Diario: humedad relativa entre 0 y 100,OK,Filas fuera de rango: 0
ADVERTENCIA,Diario: rangos físicos generales,OK,"{'temperatura_fuera_-30_50': 0, 'presion_fuera_500_1100': 0, 'viento_negativo': 0}"
ERROR,Diario: sin infinitos,OK,No hay infinitos.
ERROR,Diario: humedad del suelo eliminada,OK,No existen columnas de humedad del suelo.
ERROR,Mensual: columnas obligatorias,OK,Todas presentes.
ERROR,Mensual: filas por zona,OK,Todas las zonas tienen 420 filas.
ERROR,Mensual: claves zona-periodo únicas,OK,Duplicados: 0
ERROR,Mensual: todos los meses completos,OK,"Días incompletos: 0, banderas falsas: 0"
ERROR,Mensual: variables obligatorias sin nulos,OK,No hay nulos.
ERROR,Mensual: coherencia interna,OK,"{'prcptot_menor_rx1day': 0, 'r20_mayor_r10': 0, 'r10_mayor_dias_humedos': 0, 'cwd_mayor_dias_mes': 0, 'cdd_mayor_dias_mes': 0, 'temperatura_incoherente': 0}"
ERROR,Mensual: humedad del suelo eliminada,OK,No existen columnas de humedad del suelo.
ERROR,Modelo: columnas obligatorias,OK,Todas presentes.
ERROR,Modelo: filas por zona,OK,Todas las zonas tienen 413 filas.
ERROR,Modelo: claves zona-periodo únicas,OK,Duplicados: 0
ERROR,"Modelo: etiquetas Baja, Media y Alta",OK,"Etiquetas encontradas: ['Alta', 'Baja', 'Media']"
ERROR,Modelo: etiqueta sin nulos,OK,Nulos: 0
ERROR,Modelo: terciles históricos válidos,OK,Filas inválidas: 0
ERROR,Modelo: particiones temporales y espaciales,OK,"Conteos: {'entrenamiento': 3804, 'holdout_historia': 951, 'validacion_temporal': 576, 'prueba_temporal': 576, 'holdout_espacial': 288}"
ERROR,Modelo: holdout espacial separado,OK,Desarrollo en holdout: 0; holdout en desarrollo: 0
ERROR,Modelo: sin columnas totalmente nulas,OK,No hay columnas totalmente nulas.
ERROR,Modelo: humedad del suelo eliminada,OK,No existen columnas de humedad del suelo.
ERROR,Modelo: variables recomendadas sin fuga del objetivo,OK,Variables recomendadas: 144; fugas: []
ADVERTENCIA,Modelo: ninguna clase menor al 10% por partición,OK,Distribución aceptable.
ERROR,Modelo: sin infinitos,OK,No hay infinitos.
